,id,Label,wstrato,Longitude,Latitude,pop,income_level
219,233.0,233.0,4.0,-74.1087,4.66886,3873.0,3.0
220,235.0,235.0,3.0,-74.1356,4.68078,13677.0,2.0
221,236.0,236.0,3.994981599197057,-74.1123,4.6684199999999985,5978.0,3.0
222,237.0,237.0,3.0,-74.0983,4.6819,12833.0,2.0
223,239.0,239.0,3.979677842292564,-74.1267,4.67295,10678.0,3.0
224,241.0,241.0,3.0000000000000004,-74.115,4.67868,7251.0,2.0
225,242.0,242.0,2.0,-74.132,4.70504,21394.0,1.0
226,243.0,243.0,3.950815024805101,-74.1202,4.6701,7055.0,3.0
227,244.0,244.0,2.64750092216894,-74.1225,4.69568,21688.0,2.0
228,245.0,245.0,2.9999999999999987,-74.1061,4.69679,16048.0,2.0
229,247.0,247.0,3.0,-74.11930600000002,4.683714,59.0,2.0
230,248.0,248.0,2.977474217477835,-74.1188,4.7094,22108.0,2.0
231,249.0,249.0,2.9999999999999987,-74.0936,4.68511,10098.0,2.0
232,250.0,250.0,2.005469462169553,-74.1321,4.71006,20843.0,1.0
233,251.0,251.0,2.59568749433757,-74.1238,4.7108300000000005,33113.0,2.0
234,252.0,252.0,2.0000000000000004,-74.1381,4.71261,45688.0,1.0
235,253.0,253.0,3.0000000000000013,-74.1011,4.69148,13751.0,2.0
236,254.0,254.0,2.259963768115942,-74.1569,4.69426,2208.0,1.0
237,255.0,255.0,2.0,-74.1635,4.67031,13047.0,1.0
238,262.0,262.0,1.9999999999999991,-74.0984,4.7243,26074.0,1.0
239,263.0,263.0,1.9999999999999976,-74.1015,4.74139,20266.0,1.0
240,264.0,264.0,3.0301838882745624,-74.095,4.7453400000000014,24417.0,2.0
241,265.0,265.0,2.0,-74.10600000000002,4.73042,24721.0,1.0
242,266.0,266.0,2.3270915535344088,-74.0917,4.73222,29906.0,1.0
243,267.0,267.0,2.0000000000000004,-74.1153,4.74491,51228.0,1.0
244,268.0,268.0,2.7329895081676936,-74.1003,4.75661,45178.0,2.0
245,269.0,269.0,2.996505902906453,-74.0863,4.73919,18889.0,2.0
246,271.0,271.0,2.875218455085634,-74.0857,4.7515,22888.0,2.0
247,272.0,272.0,2.0,-74.1073,4.739719999999998,29105.0,1.0
248,273.0,273.0,2.072675521821632,-74.09,4.72366,42160.0,1.0
249,274.0,274.0,2.71213573619632,-74.1027,4.74728,41728.0,2.0
250,275.0,275.0,1.9999999999999991,-74.1266,4.74314,33367.0,1.0
251,276.0,276.0,2.1966166755936443,-74.1153,4.75156,44808.0,1.0
252,277.0,277.0,2.791128916869368,-74.0953,4.73988,34945.0,2.0
253,278.0,278.0,2.7822137074346465,-74.0914,4.7565800000000005,16181.0,2.0
254,279.0,279.0,2.951289009497964,-74.0841,4.74722,14740.0,2.0
255,280.0,280.0,2.9486014608943525,-74.0863,4.73334,22452.0,2.0
256,281.0,281.0,3.0,-74.1068,4.75479,40534.0,2.0
257,282.0,282.0,2.102373036799268,-74.102,4.7353,34892.0,1.0
258,283.0,283.0,2.174530483856046,-74.0907,4.7269,21618.0,1.0
259,284.0,284.0,2.9999999999999987,-74.099027,4.70108,15846.0,2.0
260,285.0,285.0,3.0,-74.126,4.726380000000002,14168.0,2.0
261,286.0,286.0,3.0,-74.097,4.6962,8339.0,2.0
262,287.0,287.0,2.3884247357897745,-74.0981,4.71444,28008.0,1.0
263,288.0,288.0,2.9999999999999987,-74.11399999999998,4.71894,11978.0,2.0
264,289.0,289.0,2.8801400402946107,-74.0947,4.70667,30277.0,2.0
265,290.0,290.0,3.0000000000000013,-74.1121,4.71039,14373.0,2.0
266,291.0,291.0,3.0000000000000004,-74.1053,4.7020800000000005,13963.0,2.0
267,292.0,292.0,2.9919512604102616,-74.0919,4.69914,17891.0,2.0
268,293.0,293.0,3.0000000000000013,-74.1174,4.71537,20730.0,2.0
269,294.0,294.0,2.138078209712769,-74.1031,4.72184,8669.0,1.0
270,295.0,295.0,2.9999999999999987,-74.1151,4.72286,21771.0,2.0
271,296.0,296.0,3.0000000000000004,-74.0898,4.69362,8665.0,2.0
272,297.0,297.0,2.5686077363496733,-74.1042,4.7113,35805.0,2.0
273,298.0,298.0,3.0,-74.1183,4.73123,18174.0,2.0
274,299.0,299.0,2.5999787561739867,-74.1057,4.7157300000000015,37658.0,2.0
275,300.0,300.0,2.2827308080080653,-74.1311,4.7196099999999985,20829.0,1.0
276,301.0,301.0,3.0000000000000004,-74.0867,4.69306,6241.0,2.0
277,302.0,302.0,2.9999999999999987,-74.1087,4.7024300000000006,14451.0,2.0
278,303.0,303.0,3.8111624513618674,-74.0863,4.69532,8224.0,3.0
279,308.0,308.0,4.236143187066974,-74.106075,4.648296,5196.0,3.0
280,309.0,309.0,3.0,-74.1364,4.63921,6133.0,2.0
281,310.0,310.0,3.0000000000000013,-74.1366,4.6124,10716.0,2.0
282,311.0,311.0,3.0000000000000004,-74.1411,4.61957,12118.0,2.0
283,312.0,312.0,2.762850989475396,-74.145,4.60452,24609.0,2.0
284,313.0,313.0,3.0000000000000013,-74.1473,4.61447,29448.0,2.0
285,314.0,314.0,2.9486123431757703,-74.1344,4.62022,15782.0,2.0
286,315.0,315.0,3.1489290718622813,-74.1378,4.62683,14987.0,2.0
287,316.0,316.0,3.0468533407263645,-74.1397,4.63411,18035.0,2.0
288,317.0,317.0,3.0000000000000018,-74.1534,4.60486,25850.0,2.0
289,318.0,318.0,2.541285684372163,-74.1406,4.60611,14327.0,2.0
290,319.0,319.0,2.9999999999999987,-74.1534,4.61487,20972.0,2.0
291,320.0,320.0,3.3292699916411252,-74.1302,4.64421,14356.0,2.0
292,321.0,321.0,3.0591264052175395,-74.1478,4.62368,23306.0,2.0
293,322.0,322.0,3.0,-74.1368,4.61711,3665.0,2.0
294,323.0,323.0,3.0000000000000004,-74.1401,4.64181,29090.0,2.0
295,324.0,324.0,2.0,-74.181,4.59984,25619.0,1.0
296,325.0,325.0,2.453347682875126,-74.1616,4.59771,30663.0,1.0
297,326.0,326.0,2.4104995833498655,-74.1768,4.61132,25201.0,1.0
298,327.0,327.0,1.9677355892189643,-74.207,4.61325,45747.0,1.0
299,328.0,328.0,2.0000000000000027,-74.1941,4.60796,34020.0,1.0
300,329.0,329.0,1.6102014434988692,-74.1727,4.59138,37132.0,1.0
301,330.0,330.0,2.3737500448012607,-74.1731,4.60529,27901.0,1.0
302,331.0,331.0,2.0,-74.1892,4.60297,30594.0,1.0
303,332.0,332.0,1.000000000000001,-74.17,4.5665,52482.0,1.0
304,333.0,333.0,2.000000000000001,-74.1842,4.61105,21808.0,1.0
305,334.0,334.0,2.0000000000000013,-74.1988,4.60027,36612.0,1.0
306,335.0,335.0,1.999999999999999,-74.1984,4.61417,22901.0,1.0
307,336.0,336.0,2.9582255437386213,-74.1537,4.59772,10437.0,2.0
308,337.0,337.0,1.2234393959822036,-74.1784,4.59262,29668.0,1.0
309,338.0,338.0,2.0,-74.1757,4.59579,5961.0,1.0
310,339.0,339.0,2.0,-74.1449,4.64695,16453.0,1.0
311,340.0,340.0,2.9999999999999987,-74.1542,4.62369,16766.0,2.0
312,341.0,341.0,2.0009670168835916,-74.1685,4.62553,38262.0,1.0
313,342.0,342.0,2.0,-74.1898,4.61917,46194.0,1.0
314,343.0,343.0,1.8418252681289309,-74.1882,4.63022,35151.0,1.0
315,344.0,344.0,1.9999999999999991,-74.1598,4.64363,27566.0,1.0
316,345.0,345.0,1.7410632166288549,-74.2036,4.6287,16309.0,1.0
317,346.0,346.0,2.0000000000000004,-74.1654,4.63341,39422.0,1.0
318,347.0,347.0,1.5036991993513729,-74.1951,4.63783,19734.0,1.0
319,348.0,348.0,2.000000000000001,-74.179,4.62106,51984.0,1.0
320,349.0,349.0,2.2634882226171125,-74.1556,4.63766,26449.0,1.0
321,350.0,350.0,2.0,-74.17,4.63885,32648.0,1.0
322,351.0,351.0,2.5300317501882104,-74.1627,4.6113,30551.0,2.0
323,352.0,352.0,1.8006974881002875,-74.1773,4.6458900000000005,21219.0,1.0
324,353.0,353.0,2.0,-74.1678,4.64766,6052.0,1.0
325,354.0,354.0,3.058843460582786,-74.1496,4.63286,26562.0,2.0
326,355.0,355.0,1.9529643404069132,-74.1517,4.65546,9142.0,1.0
327,356.0,356.0,2.0432498882431833,-74.1622,4.62678,17896.0,1.0
328,357.0,357.0,2.2825637100660474,-74.1724,4.61803,35277.0,1.0
329,358.0,358.0,1.9999999999999967,-74.1629,4.63854,26208.0,1.0
330,359.0,359.0,2.0,-74.1744,4.64232,20806.0,1.0
331,360.0,360.0,2.792422770545949,-74.1484,4.63915,25735.0,2.0
332,361.0,361.0,1.9364958385415056,-74.1808,4.6330300000000015,32801.0,1.0
333,362.0,362.0,2.816153444676408,-74.1613,4.62084,15328.0,2.0
334,363.0,363.0,1.8895438519171437,-74.1821,4.63825,18152.0,1.0
335,364.0,364.0,2.7773434296492714,-74.169,4.61247,36581.0,2.0
336,365.0,365.0,1.986175955646338,-74.1953,4.6291400000000005,27416.0,1.0
337,366.0,366.0,1.98825831702544,-74.1982,4.6207699999999985,33215.0,1.0
338,367.0,367.0,1.2056074766355145,-74.1971,4.64339,4066.0,1.0
339,368.0,368.0,1.8834964654703643,-74.1737,4.64773,22068.0,1.0
340,369.0,369.0,2.000000000000001,-74.2009,4.6329,33582.0,1.0
341,370.0,370.0,2.000000000000001,-74.1648,4.64346,16484.0,1.0
342,371.0,371.0,2.0,-74.1595,4.65281,37938.0,1.0
343,372.0,372.0,2.0,-74.1689,4.65131,8253.0,1.0
344,374.0,374.0,2.3237029011676897,-74.1451,4.64421,8307.0,1.0
345,375.0,375.0,6.0,-74.0546,4.67707,979.0,4.0
346,376.0,376.0,6.000000000000001,-74.0504,4.69464,1615.0,4.0
347,377.0,377.0,5.999999999999999,-74.0517,4.67398,1721.0,4.0
348,378.0,378.0,5.904214559386972,-74.0476,4.68423,783.0,4.0
349,379.0,379.0,6.0,-74.0542,4.6808,1240.0,4.0
350,380.0,380.0,6.0,-74.0456,4.6716,1796.0,4.0
351,381.0,381.0,3.2027520701412566,-74.0667,4.68141,8212.0,2.0
352,382.0,382.0,6.0,-74.0406,4.6798,681.0,4.0
353,383.0,383.0,6.0,-74.046,4.6778,848.0,4.0
354,384.0,384.0,3.017241379310345,-74.0391,4.682,174.0,2.0
355,385.0,385.0,5.268807932744125,-74.0567,4.68746,4639.0,4.0
356,386.0,386.0,6.0,-74.0419,4.66952,1328.0,4.0
357,387.0,387.0,5.429764243614931,-74.0429,4.68864,2036.0,4.0
358,388.0,388.0,6.0,-74.0486,4.6779199999999985,508.0,4.0
359,389.0,389.0,6.000000000000001,-74.0489,4.6722199999999985,836.0,4.0
360,390.0,390.0,6.0,-74.0395,4.6795,696.0,4.0
361,391.0,391.0,5.681857265692178,-74.0515,4.68637,1163.0,4.0
362,392.0,392.0,6.0,-74.0431,4.68017,896.0,4.0
363,393.0,393.0,6.0,-74.057,4.67719,1075.0,4.0
364,394.0,394.0,6.0,-74.0517,4.67778,587.0,4.0
365,395.0,395.0,5.467764060356653,-74.0468,4.6883,1458.0,4.0
366,396.0,396.0,6.000000000000001,-74.0542,4.695869999999998,1567.0,4.0
367,397.0,397.0,4.255808495658297,-74.0611,4.68361,4261.0,3.0
368,398.0,398.0,5.866666666666666,-74.0498,4.68233,1365.0,4.0
369,399.0,399.0,5.999999999999999,-74.0517,4.69025,2880.0,4.0
370,400.0,400.0,6.0,-74.042,4.6817,279.0,4.0
371,401.0,401.0,5.705563761693747,-74.057,4.68325,2031.0,4.0
372,402.0,402.0,4.953315290933694,-74.0613,4.68919,4434.0,4.0
373,403.0,403.0,6.0,-74.0451,4.68315,3434.0,4.0
374,404.0,404.0,6.0,-74.0438,4.67572,1141.0,4.0
375,405.0,405.0,5.874203821656053,-74.0554,4.6928,1884.0,4.0
376,406.0,406.0,6.0,-74.0482,4.6737199999999985,1129.0,4.0
377,407.0,407.0,5.977380326144134,-74.0474,4.69144,1901.0,4.0
378,408.0,408.0,6.0,-74.0479,4.68041,82.0,4.0
379,409.0,409.0,6.0,-74.0408,4.68049,218.0,4.0
380,410.0,410.0,5.973684210526316,-74.0472,4.68318,76.0,4.0
381,411.0,411.0,6.000000000000001,-74.0473,4.67634,444.0,4.0
382,412.0,412.0,5.999999999999999,-74.0541,4.68574,1423.0,4.0
383,413.0,413.0,5.999999999999999,-74.05,4.67955,624.0,4.0
384,414.0,414.0,5.0,-74.0582,4.69571,2015.0,4.0
385,415.0,415.0,3.603752931978109,-74.0786,4.68122,6395.0,3.0
386,416.0,416.0,5.7175398633257375,-74.0787,4.7104599999999985,4829.0,4.0
387,417.0,417.0,3.3342056074766355,-74.0834,4.6777,8025.0,2.0
388,418.0,418.0,3.0000000000000004,-74.0902,4.68537,11371.0,2.0
389,419.0,419.0,5.0607187112763325,-74.0749,4.71143,2421.0,4.0
390,420.0,420.0,3.2993673746046093,-74.0812,4.67874,4426.0,2.0
391,421.0,421.0,5.0,-74.0704,4.69625,93.0,4.0
392,422.0,422.0,4.999999999999999,-74.0603,4.6955,4253.0,4.0
393,423.0,423.0,3.691476826394344,-74.0666,4.68814,5092.0,3.0
394,424.0,424.0,3.9025185185185194,-74.0744,4.68911,3375.0,3.0
395,425.0,425.0,3.363396971691902,-74.0846,4.68358,9114.0,2.0
396,426.0,426.0,5.000000000000001,-74.0715,4.70654,5473.0,4.0
397,427.0,427.0,3.9282689912826902,-74.0774,4.69714,4015.0,3.0
398,428.0,428.0,4.853790613718412,-74.0636,4.69139,1662.0,4.0
399,429.0,429.0,3.6110313472122515,-74.0861,4.67209,16716.0,3.0
400,430.0,430.0,4.311159737417942,-74.0816,4.69867,2285.0,3.0
401,431.0,431.0,3.0,-74.0813,4.68571,4917.0,2.0
402,432.0,432.0,3.0000000000000013,-74.0953,4.67732,17700.0,2.0
403,433.0,433.0,3.0,-74.0809,4.6748,8424.0,2.0
404,434.0,434.0,4.0,-74.0708,4.6887300000000005,8348.0,3.0
405,435.0,435.0,5.0,-74.0679,4.70125,3244.0,4.0
406,436.0,436.0,4.0,-74.0822,4.68066,3810.0,3.0
407,437.0,437.0,4.0,-74.0735,4.68507,3846.0,3.0
408,438.0,438.0,3.463992869875224,-74.0793,4.6906,5610.0,2.0
409,439.0,439.0,4.809493264913407,-74.0662,4.69339,4677.0,4.0
410,440.0,440.0,4.53714859437751,-74.0698,4.69983,996.0,4.0
411,441.0,441.0,4.728965003723008,-74.0805,4.70152,1343.0,4.0
412,442.0,442.0,3.446517979062359,-74.0754,4.67694,8788.0,2.0
413,443.0,443.0,4.0,-74.0709,4.697019999999998,252.0,3.0
414,446.0,446.0,3.0,-74.0718,4.6092,2272.0,2.0
415,447.0,447.0,3.0000000000000004,-74.0782,4.60003,246.0,2.0
416,448.0,448.0,3.0,-74.0725,4.6037,77.0,2.0
417,449.0,449.0,3.8826454500248633,-74.0723,4.6175,2011.0,3.0
418,450.0,450.0,3.98236092265943,-74.0696,4.61495,737.0,3.0
419,451.0,451.0,2.5384843982169385,-74.0774,4.5941,6730.0,2.0
420,452.0,452.0,2.5955978975032847,-74.0722,4.6003,3044.0,2.0
421,453.0,453.0,3.0,-74.0749,4.60206,232.0,2.0
422,454.0,454.0,3.0,-74.0706,4.60444,2607.0,2.0
423,455.0,455.0,3.0,-74.0704,4.61034,120.0,2.0
424,456.0,456.0,3.0,-74.068,4.6235300000000015,68.0,2.0
425,457.0,457.0,3.9999999999999987,-74.0692,4.62031,849.0,3.0
426,459.0,459.0,2.625690607734806,-74.0805,4.60583,3620.0,2.0
427,460.0,460.0,2.942081447963801,-74.0681,4.6,3315.0,2.0
428,461.0,461.0,3.2419962335216583,-74.0722,4.61397,1062.0,2.0
429,462.0,462.0,2.6247600767754315,-74.0746,4.59731,1042.0,2.0
430,463.0,463.0,2.202437373053487,-74.0677,4.6192199999999985,1477.0,1.0
431,464.0,464.0,2.9208529092880373,-74.0763,4.60644,2767.0,2.0
432,465.0,465.0,2.1245465538089485,-74.0766,4.61011,6616.0,1.0
433,468.0,468.0,3.0,-74.0737,4.6039400000000015,120.0,2.0
